Flybase_ID	Annotation_Symbol	Name	Symbol
FBgn0004652	CG14307	fruitless	fru
FBgn0261963	CG6634	midline	mid
FBgn0015239	CG7199	Hormone-receptor-like in 78	Hr78
FBgn0037659	CG11033	Lysine demethylase 2	Kdm2
FBgn0042696	CG2380	Nuclear factor I	NfI
FBgn0001994	CG7664	cropped	crp
FBgn0000439	CG2189	Deformed	Dfd
FBgn0031874	CG13775	-	CG13775
FBgn0005558	CG1464	eyeless	ey
FBgn0261953	CG7807	Transcription factor AP-2	TfAP-2
FBgn0003944	CG10388	Ultrabithorax	Ubx
FBgn0002522	CG1264	labial	lab
FBgn0042630	CG32139	Sox21b	Sox21b
FBgn0019650	CG11186	twin of eyeless	toy
FBgn0003964	CG4380	ultraspiracle	usp
FBgn0004102	CG12154	ocelliless	oc
FBgn0033782	CG3850	sugarbabe	sug
FBgn0000015	CG11648	Abdominal B	Abd-B
FBgn0000014	CG10325	abdominal A	abd-A
FBgn0004863	CG7937	C15	C15
FBgn0030664	CG8119	-	CG8119
FBgn0003028	CG6824	ovo	ovo
FBgn0013799	CG8567	Deformed epidermal autoregulatory factor-1	Deaf1
FBgn0260642	CG1028	Antennapedia	Antp
FBgn0003870	CG1856	tramtrack	ttk
FBgn0051481	CG31481	proboscipedia	pb
FBgn0003254	CG7230	ribbon	rib
FBgn0000504	CG11094	doublesex	dsx
FBgn0003339	CG1030	Sex combs reduced	Scr
FBgn0035518	CG15011	-	CG15011
FBgn0001139	CG8384	groucho	gro
FBgn0004862	CG7902	bagpipe	bap
FBgn0036725	CG18265	-	CG18265
FBgn0039209	CG13624	Repressed by TOR	REPTOR
FBgn0000370	CG8669	cryptocephal	crc
FBgn0032940	CG18362	Mondo	Mondo
FBgn0004878	CG2102	castor	cas
FBgn0010109	CG8704	deadpan	dpn
FBgn0039509	CG3350	bigmax	bigmax
FBgn0004914	CG9310	Hepatocyte nuclear factor 4	Hnf4
FBgn0003651	CG11502	seven up	svp
FBgn0004595	CG17228	prospero	pros
FBgn0262975	CG43286	cap-n-collar	cnc
FBgn0000097	CG3166	anterior open	aop
FBgn0003507	CG3992	serpent	srp
FBgn0038197	CG3143	forkhead box, sub-group O	foxo
FBgn0000659	CG10002	fork head	fkh
FBgn0000567	CG32180	Ecdysone-induced protein 74EF	Eip74EF
FBgn0032223	CG5034	GATAd	GATAd
FBgn0004510	CG6338	Ets at 97D	Ets97D
FBgn0005659	CG5583	Ets at 98B	Ets98B
FBgn0038391	CG10278	GATAe	GATAe
FBgn0039225	CG6892	Ets96B	Ets96B
FBgn0005660	CG2914	Ets at 21C	Ets21C
FBgn0005658	CG7018	Ets at 65A	Ets65A
FBgn0003117	CG3978	pannier	pnr
FBgn0261283	CG8522	Sterol regulatory element binding protein	SREBP
FBgn0003118	CG17077	pointed	pnt
FBgn0001138	CG9656	grain	grn
FBgn0011655	CG1775	Medea	Med
FBgn0011648	CG12399	Mothers against dpp	Mad
FBgn0001180	CG9786	hunchback	hb
FBgn0015799	CG7413	Retinoblastoma-family protein	Rbf
FBgn0003345	CG8544	scalloped	sd
FBgn0036373	CG10741	Tondu-domain-containing Growth Inhibitor	Tgi
FBgn0000611	CG8933	extradenticle	exd
FBgn0001235	CG17117	homothorax	hth
FBgn0010433	CG7508	atonal	ato
FBgn0287768	CG3758	escargot	esg
FBgn0003900	CG2956	twist	twi
FBgn0000546	CG1765	Ecdysone receptor	EcR
FBgn0000577	CG9015	engrailed	en
FBgn0000606	CG2328	even skipped	eve
FBgn0035702	CG10147	-	CG10147
FBgn0037619	CG8159	-	CG8159
FBgn0011774	CG5247	Inverted repeat-binding protein	Irbp
FBgn0032150	CG13123	-	CG13123
FBgn0027788	CG11194	Hairy/E(spl)-related with YRPW motif	Hey
FBgn0029861	CG3815	-	CG3815
FBgn0261238	CG1070	Alhambra	Alh
FBgn0005427	CG3114	erect wing	ewg
FBgn0033569	CG12942	-	CG12942
FBgn0038787	CG4360	-	CG4360
FBgn0038108	CG7518	-	CG7518
FBgn0024975	CG2712	-	CG2712
FBgn0039366	CG17198	-	CG17198
FBgn0037436	CG10296	Hormone receptor 83	Hr83
FBgn0263047	CG43342	-	CG43342
FBgn0003130	CG8246	Pox neuro	Poxn
FBgn0014343	CG10601	mirror	mirr
FBgn0011274	CG6794	Dorsal-related immunity factor	Dif
FBgn0263352	CG7015	Upstream of N-ras	Unr
FBgn0015602	CG10159	Boundary element-associated factor of 32kD	BEAF-32
FBgn0032651	CG5545	Olig family	Oli
FBgn0085369	CG34340	Dorsal root ganglia homeobox	Drgx
FBgn0083981	CG34145	Runt related A	RunxA
FBgn0016076	CG14029	vrille	vri
FBgn0016970	CG13951	lethal (2) k10201	l(2)k10201
FBgn0030505	CG11172	NFAT nuclear factor	NFAT
FBgn0264075	CG11987	tango	tgo
FBgn0023076	CG7391	Clock	Clk
FBgn0041105	CG12809	nervous fingers 2	nerfin-2
FBgn0014931	CG2678	-	CG2678
FBgn0029672	CG2875	-	CG2875
FBgn0050431	CG30431	-	CG30431
FBgn0053221	CR33221	-	CR33221
FBgn0003511	CG7938	Serendipity beta	Sry-beta
FBgn0026080	CG6121	Tat interactive protein 60kDa	Tip60
FBgn0004893	CG10021	brother of odd with entrails limited	bowl
FBgn0287725	CG14438	small ovary	sov
FBgn0266129	CG16778	jim lovell	lov
FBgn0034814	CG9890	-	CG9890
FBgn0001320	CG4717	knirps	kni
FBgn0035956	CG5187	Dorsocross2	Doc2
FBgn0003963	CG2762	u-shaped	ush
FBgn0002734	CG8328	Enhancer of split mdelta, helix-loop-helix	E(spl)mdelta-HLH
FBgn0264954	CG44123	forkhead domain 3F	fd3F
FBgn0020306	CG9696	domino	dom
FBgn0038979	CG7046	testis-enriched HMG-box-containing protein 2	tHMG2
FBgn0261930	CG6172	ventral nervous system defective	vnd
FBgn0032814	CG10366	-	CG10366
FBgn0053213	CG33213	Buddy of Hmr 1	Boh1
FBgn0041156	CG8254	extra-extra	exex
FBgn0005694	CG5683	Adult enhancer factor 1	Aef1
FBgn0038833	CG15696	-	CG15696
FBgn0020617	CG10052	Retinal Homeobox	Rx
FBgn0283451	CG11491	broad	br
FBgn0030432	CG4404	-	CG4404
FBgn0052532	CG32532	-	CG32532
FBgn0029905	CG3075	Nuclear factor Y-box C	Nf-YC
FBgn0003430	CG16738	sloppy paired 1	slp1
FBgn0003270	CG10393	absent MD neurons and olfactory sensilla	amos
FBgn0036134	CG11799	Forkhead box K	FoxK
FBgn0028789	CG5133	Dorsocross1	Doc1
FBgn0023489	CG2819	PvuII-PstI homology 13	Pph13
FBgn0037120	CG11247	-	CG11247
FBgn0261648	CG6464	spalt major	salm
FBgn0042205	CG18764	-	CG18764
FBgn0039808	CG12071	-	CG12071
FBgn0004053	CG1046	zerknullt	zen
FBgn0023097	CG5206	bonus	bon
FBgn0039411	CG32474	dysfusion	dysf
FBgn0000320	CG9554	eyes absent	eya
FBgn0026582	CG9418	High mobility group protein 2	Hmg-2
FBgn0263667	CG5591	Lost PHDs of trr	Lpt
FBgn0261565	CG42679	Limpet	Lmpt
FBgn0000287	CG4881	spalt-related	salr
FBgn0033846	CG6061	Myb-interacting protein 120	mip120
FBgn0285971	CG9233	piragua	prg
FBgn0024250	CG9653	brinker	brk
FBgn0030266	CG11122	-	CG11122
FBgn0000588	CG14941	extra sexcombs	esc
FBgn0015371	CG11798	charlatan	chn
FBgn0000591	CG8365	Enhancer of split m8, helix-loop-helix	E(spl)m8-HLH
FBgn0033998	CG8092	relative of woc	row
FBgn0010768	CG5557	squeeze	sqz
FBgn0086908	CG12196	eggless	egg
FBgn0033889	CG6701	-	CG6701
FBgn0000028	CG9151	abnormal chemosensory jump 6	acj6
FBgn0002521	CG17743	pleiohomeotic	pho
FBgn0011758	CG5529	BarH1	B-H1
FBgn0004198	CG11387	cut	ct
FBgn0034120	CG15710	-	CG15710
FBgn0261802	CG42748	-	CG42748
FBgn0020496	CG7583	C-terminal Binding Protein	CtBP
FBgn0000411	CG5893	Dichaete	D
FBgn0035407	CG14962	ASCIZ zinc finger protein	Asciz
FBgn0000541	CG32346	Enhancer of bithorax	E(bx)
FBgn0266369	CG9342	Microsomal triacylglycerol transfer protein	Mtp
FBgn0033491	CG18011	-	CG18011
FBgn0035160	CG13897	hinge3	hng3
FBgn0037555	CG9638	transcriptional Adaptor 2b	Ada2b
FBgn0039355	CG4730	-	CG4730
FBgn0039019	CG6990	Heterochromatin Protein 1c	HP1c
FBgn0025334	CG11182	Putative homeodomain protein	PHDP
FBgn0286204	CG11966	ichor	ich
FBgn0001077	CG2047	fushi tarazu	ftz
FBgn0030012	CG18262	-	CG18262
FBgn0003499	CG7847	stripe	sr
FBgn0029867	CG3847	-	CG3847
FBgn0003862	CG8651	trithorax	trx
FBgn0002783	CG18740	moira	mor
FBgn0031391	CG11723	-	CG11723
FBgn0043002	CG13399	Chromatin accessibility complex 14kD protein	Chrac-14
FBgn0032763	CG17568	-	CG17568
FBgn0019809	CG3858	gcm2	gcm2
FBgn0051875	CG31875	-	CG31875
FBgn0037617	CG8145	numerous disordered muscles	nom
FBgn0013751	CG1072	Arrowhead	Awh
FBgn0025776	CG11551	intermediate neuroblasts defective	ind
FBgn0003720	CG1378	tailless	tll
FBgn0033815	CG4676	-	CG4676
FBgn0261064	CG8506	Rabenosyn-5	Rbsn-5
FBgn0011656	CG1429	Myocyte enhancer factor 2	Mef2
FBgn0039831	CG12054	-	CG12054
FBgn0037275	CG14655	-	CG14655
FBgn0036423	CG3919	-	CG3919
FBgn0003612	CG8068	Suppressor of variegation 2-10	Su(var)2-10
FBgn0259176	CG42281	bunched	bun
FBgn0002941	CG6534	slouch	slou
FBgn0034114	CG4282	-	CG4282
FBgn0026533	CG5935	Dek	Dek
FBgn0267337	CG42277	rotund	rn
FBgn0262656	CG10798	Myc	Myc
FBgn0021767	CG11202	optomotor-blind-related-gene-1	org-1
FBgn0000575	CG1007	extra macrochaetae	emc
FBgn0287478	CG42332	Calmodulin-binding transcription activator	Camta
FBgn0039946	CG17172	(A+T)-stretch binding protein	ATbp
FBgn0030710	CG8924	-	CG8924
FBgn0038592	CG18599	-	CG18599
FBgn0030093	CG7055	Brahma associated protein 111kD	Bap111
FBgn0001133	CG33133	grauzone	grau
FBgn0052719	CG32719	-	CG32719
FBgn0037717	CG8301	-	CG8301
FBgn0085450	CG34421	Sno oncogene	Snoo
FBgn0250732	CG33546	GST-containing FLYWCH zinc-finger protein	gfzf
FBgn0039169	CG5669	Sp1-like factor for pairing sensitive-silencing	Spps
FBgn0037937	CG6913	48 related 3	Fer3
FBgn0000412	CG9745	D1 chromosomal protein	D1
FBgn0004861	CG18412	polyhomeotic proximal	ph-p
FBgn0003396	CG7734	schnurri	shn
FBgn0028991	CG32904	sequoia	seq
